我家熊孩子不熊 || 点赞16 || 评论804
小外甥在床上吃零食，我想着等下看好戏的在他旁边等着他挨说，好长时间他妈也不进来，于是我也抓了一个薯片……随着拖鞋的脚步声由远到近，小外甥麻利的把他吃的食物残拨到我这边并迅速的下床离我远远的……“妈，我小姨在床上吃东西……！”匿名用户 || 点赞6 || 评论202
太糗了～～～尼玛昨天就在昨天马上溜38的我居然梦遗了～～～实在是太糗了！！可耻的匿了～～～青青子衿忧我心° || 点赞19 || 评论1312
中午跟姐姐一块吃海鲜，估计螃蟹不新鲜，没一会我们两个人都肚子痛。姐姐从背包里掏出一板药片，让我吃两片止痛药。过了半小时，姐姐问我:你肚子还痛吗？我:不痛了，你那药不错。姐姐:那药在包里都放过期了，你要不试试，我还真不敢吃。这到底是不是我姐？？？吃货最怕饿梦. || 点赞27 || 评论2286
和闺蜜住一起的时候，她做微商！晚上睡觉前，她对我说，你要是能在5分钟内卸妆完毕，我就给你发个红包！经不住红包诱惑，我三下五除二卸妆完，闺蜜拿手机咔咔，拍照完又找了我之前照片一起发朋友圈，标题：这位美女自从用了我家xx牌化妆品后，成功钓到金龟婿！大家可以对比下素颜和化妆后的对比！！尼玛，，，浅浅一笑恰逢你来 || 点赞18 || 评论1016
小外甥养了一只一个多月大的长毛兔，每天定时给兔子喂兔粮，拿个塑料袋套在手上捡兔子便便放在一个废旧的杯子里，然后再倒进马桶里……昨天小区的“自来熟”大爷来找我妈跳舞……“呦，这谁沏的茶呀，还没泡开呢，不过看着颜色茶不错呀，我先尝一口……”我说我真没来得及拦住你们信吗？傻晴° || 点赞12 || 评论991
看到同事新买的高跟鞋，我说道:真好看，我一直穿粗跟的，都不习惯穿这种了！然后男同事在旁边突然来了句:你一直穿粗跟的难道不是因为怕把细跟的踩断吗？[汗颜][汗颜]嗨！约不 || 点赞8 || 评论94
如果上天再给我一次机会，我会对那个女孩说我爱你。如果要是加一个期限的话，我希望是一万年。星劫 || 点赞19 || 评论1607
侄子淘气，老哥揍了他，他委屈的跟他姥爷打电话。　　“姥爷呀，你给你闺女找的什么破男人呀？成天无所事事，不求上进，除了睡你闺女，就是打你外孙，你要还是个男人，就来我家打死他吧!”帝国守卫 || 点赞11 || 评论819
公司同事被女朋友甩了，他女朋友跟一有钱帅哥跑了，公司老板司机看不惯，帮他出气。两人开着老板的大奔就去装逼了，没想到，刚到地方，司机小伙连车都没停就跑了，这哥们问老板司机，咋的？不是给我出气吗？你跑的这快。司机苦笑道，哥，这忙帮不了了，那男的是咱老板的公子啊，你在公司这多年，连太子爷都不认识？哥，我看你还是早点死心吧！抱我51 || 点赞6 || 评论834
有一天我看见我妈闷闷不乐，就问：妈，怎么了，妈：昨晚我梦见你爸爸了，他说今年清明不要带孙子去上坟，最好不要烧很多东西过去，儿子：这不是好事吗？妈：好什么好，你爸说，你儿去年烧过去的试卷他现在还没有做完匿名用户 || 点赞52 || 评论976
小病住院，女朋友外地订了一盒玫瑰花送我。因为第二天要出院了，下午收拾东西我嫌东西多就送给护士了，，，结果刚才女朋友打电话说她明天回家，告诉我把花也装好带回去，，我靠，我都送人了还咋要？在线求大神支招啊……心米甜 || 点赞8 || 评论185
这样的扑克见过吗匿名用户 || 点赞127 || 评论5407
同学聚会，期间一个同学说自己刚买了车子，房子花了几百万，好辛苦什么的。我们宿舍老大说，哎呀，大款啊……那位同学很谦虚的说，哪里哪里，低调，低调。老大说，那这次聚会就你请客啦，大家也不好意思跟你抢单。这位同学的脸当时就僵硬了，应付的说，这个当然。饭吃了一半，这位同学电话响起，他出去接电话，就没回来了……我举杯敬了老大一杯，毕业这么久，性格还是那么真爱新觉罗.黄瓜 || 点赞34 || 评论2037
儿子缠着老婆给他买气球，老婆不肯，小家伙儿气的不吱声了。过了一会我看他还生气，故意逗她:宝贝，你喜欢弟弟还是妹妹啊，让妈妈给你生一个好不好?儿子:我喜欢气球，让妈妈生个气球给我吧！......动物园里的猴 || 点赞31 || 评论3225
跟女友逛街，看到两个女人对骂，两人嘴叭叭叭都跟机关 枪似的，女友拉住我说“我要看会儿，，顺便学几句，，，”这一看就是一个多小时，两个女人都走了，女友还意犹未尽，边走边说“真厉害，听了半天也学了几句，得找个人试试，，”这话听的我后背发凉，这几天我说话要小心了。。。胖香 || 点赞22 || 评论1354
我哥在厨房淘米，装上衣口袋里的手机滑水池子里了。他着急忙慌的拿着手机跑出来让嫂子用吹风机吹干，他跑电脑跟前查抢救放法，然后兴奋的喊嫂子:“快去把手机放大米里面，这样就能把潮气吸走了！”然后我就眼睁睁的看着嫂子把手机扔进了我哥放在水池边的电饭锅内胆里，没错，里面泡着准备蒸的米！青青青青柠檬 || 点赞8 || 评论301
每天早上种种菜浇浇水  晚上吃自己种的菜  生活就是如此美好一诺~千金 || 点赞15 || 评论2293
最近流行一种球拍舞，阿姨忽然拉着我陪她去学跳球拍舞，我在旁边看着她跟人家学的有模有样，忽然，她一失手，一球拍拍到了前面阿姨后脑勺上，前面阿姨捂着后脑勺回头瞪她，阿姨忙道歉，大家都知道她刚学，也就不跟她计较了，过了会，她又是一球拍，拍到前面阿姨的后脑勺上了，我忙过去，边跟人道歉边拉她回家，路上我说她不会跳还跳，阿姨恨恨地说：哼，狐 狸 精，勾 搭我老伴，拍不死你！
傻晴° || 点赞46 || 评论2192
晚上洗完澡，兴趣来了，对着正在打游戏的老公就是一阵搔首弄姿！谁知老公一把把我推开，拿起手机给我看到:老婆你看，今天我这个星座不能那啥，要克制～我尼 玛～
花七七… || 点赞13 || 评论1210
老婆头上新添几根白发，心酸楚，跟了我真是委屈她了啊！做好饭时，偷偷藏有鸡腿藏的那碗饭放她面前。她用筷子划拉几下盘子里的鸡肉，恶狠狠地对我说：“特么的鸡腿让狗吃了吧……”
驯猴师 || 点赞45 || 评论3353
嫂子让我哥戒烟，说抽烟太浪费钱了，把烟钱省下来给闺女报几个兴趣班，。。我哥指着嫂子的化妆品说“你这堆化妆品能给闺女换更多的零食。。”嫂子“我打扮好看点还不是给你看吗，，”小丫头“爸爸，你换个不用打扮就好看的老婆吧，我们新来的老师素颜可好看了，，”，，，哇……
载不动，翻船了 || 点赞5 || 评论173
你敢坐吗？
抱我51 || 点赞23 || 评论1330
别人的妈妈早上起床看到孩子睡觉从床上滚下来，都会心疼的叫醒孩子，然后抱着孩子让他去床上睡觉。而我的妈妈就比较厉害了，她早上拖地发现我在地上睡着了，就会用拖把在我周围拖一个圈，每次醒来我都以为我是案发现场里面的尸体。
素·敵 || 点赞82 || 评论8058
炖骨头汤失败了，就在群里请教…一男糗友立马回了一大串信息，说的很是专业，大家很是惊讶…平时看他聊天不是打架斗殴就是恶作剧，没想到对料理还挺有研究…没想到这丫来了句： 就是因为经常打架，所以我才学会了炖骨头汤…
第四个兵 || 点赞38 || 评论1160
今天儿子老师在群里发消息让交学费，我怕儿子带丢了，便在群里给老师发了一个红包，没想到被哪个手贱的抢跑了，商量了半天退了回来，没等我领，又被那个贱人抢走了！
寂寞的小妖 || 点赞8 || 评论856
刚刚高中毕业去工地应聘。让填履历表，在都在哪里谋职一栏里，我刷刷刷的填上了我曾经的:小学学校，初中学校，高中学校。来工地应聘，我总觉得应该填体力，耐力，持久力什么的啊～
戒烟戒酒戒了你 || 点赞9 || 评论405
以前在工厂上过班，有位逗逼同事夏天喜欢穿大裤衩子…还喜欢挂空档！割了他的  …一日该同事和心仪的姑娘面对面交谈。身后一哥们儿恶作剧的扒了他裤子！女孩瞬间一声尖叫双手捂面 。但是我可以发誓。我真的有看到她张开手指缝偷看！！！
吃货最怕饿梦. || 点赞51 || 评论2055
男友下了夜班回来，我躺床上有气无力的对他说：“我发烧了！”男友：“哦！”然后就开始快速的脱衣服我：“我发烧了，你脱衣服干啥？还不去给我买药？”男友一边提裤子，一边说：“原来是发烧了！不是发骚了！”我特么真想掐 死 他，，，
客家细妹勤上勤，五… || 点赞59 || 评论825
黑人问号？＿ ？
放荡不羁的夜晚 || 点赞6 || 评论1127
从别的地方挖过来的。
王八与蛋 || 点赞7 || 评论1335
春暖花开的季节，许多人带着宠物去踏青赏花，我妈也带着宠物去赏花，人家是秋田犬伏樱花树，我妈是紫荆花树下单身狗儿子相亲……[捂脸]
老鼠爱吃v鱼 || 点赞0 || 评论115
女汉子是怎样练成的！！
偷惢 || 点赞19 || 评论1735
家里平时老爸做饭，今晚老爸加班，家里只有我跟老妈。她也不知道咋想的非要包饺子，兴致勃勃的剁馅，和面，包完之后，看了半天，然后告诉我:闺女，咱俩出去吃吧！老妈，你这么调皮真的好吗？……
1枪独挑千万菊 || 点赞17 || 评论1139
我呀，出差半来月回家，晚上回去以后呢我媳妇提前下班了，老早在家等着我说到，老公快快快，今天你就往死折磨我。这可是你说的，别怪我不是人。那行，你来把你就。说完以后呢，我就抱着被子和枕头到客厅睡了，我就往死里折磨你。
偷情贼 || 点赞42 || 评论6773
出差去外地，在机场门口遇到一老外问我高铁站怎么走，我楞了半天脸都憋红了用中文说了句我不会讲英文。老外楞楞的看了我半响：我是用中文问你的呀，你直接用中文回答我就可以了呀!……
见笑了哈 || 点赞7 || 评论891
上次我问寝室老大：“老大，开春了，商场里你最想打折的是什么？” 老大沉思良久，说道：“女朋友的腿！”
寒雪黎明 || 点赞0 || 评论120
不知道谁那么缺德把两只狗的屁股粘在一起，一只是黑色的，手机不好，拍不明显，一只向前走另一只就被拉着后退
神密巨星…… || 点赞9 || 评论962
舅舅过生日，我起早包好了红包。然后去刷牙洗脸，中午到舅家就拿出红包祝舅舅生日快乐。可是总感觉我的红包是空的，我妈一直怂恿舅舅现场打开看看有多少，是的，红包里是空的，钱被我妈拿走了[大哭][大哭][大哭][大哭][大哭]
我不是你说的大神 || 点赞24 || 评论1513
昨天买必胜客买排队买东西 一个长得还行的妹纸插我的队 ，我问她 妹纸怎么自己排队买东西 ，你男盆友呢？妹纸红着脸说害羞的说没有男朋友 。你没有男朋友居然敢插队？没看见人人都排队吗！女孩纸家怎么这么没有礼貌？这样以后怎么找得到男朋友？你还瞪我？我说的不对吗？看你长得还行 怎么这么没有礼貌。要不是我不打女人我就要揍你了。。！！！
福永小松发 || 点赞48 || 评论1147
我表哥，取老婆，彩礼16.5万，两年跑了，据说女的一怀孕就去打掉，这算不算骗婚
E_虚都不虚 || 点赞50 || 评论1012
挺有道理的!
小呀小胖墩丶 || 点赞1 || 评论155
朋友都二婚了，我连个对象都没正经谈过。太失败了
匿名用户 || 点赞46 || 评论423
吐槽下，憋在心里难受，背景，酒店前台，怀孕5个月，我们食堂理酒店很远，差不多开车也要7.8分钟，所以我们酒店的人吃饭都是一个人一个饭桶打上来的，我们吃饭时间比食堂开饭时间早一个小时，所以我们基本上都是吃前一天的剩饭剩菜，这个我们说过很多次了，但是没有得到解决，如果是剩下来的菜也就算了，关键是他们故意提前打下来，留着下顿给我们吃，到送饭的时候就放在蒸笼里热下，然后饭桶是两个菜两个菜打在一起的，一共4个菜，菜全部都串味了，连我们这里的打扫阿姨都吃不进去，更别说我一个孕妇了，看到饭桶就要吐的，所以基本…
来呀！来抓我呀~ || 点赞79 || 评论8105
过马路走地下通道，总觉得阴森恐怖，看到前面有俩帅哥在走着，我加快速度跟着他们，没想到我快他们也快，我小跑着去追，那俩帅哥站定了，回头冲我嚷嚷：大姐你想干嘛呀，你这样跟着我们挺吓人的！
风吹屁股蛋子疼 || 点赞19 || 评论7760
大宝刚上幼儿园第一天，我对上大班的外甥女说:“以后你在学校要保护好你弟弟，不要让他被小朋友欺负了！”外甥女郑重的点点头，一副委以重任，踌躇满志的样子。过了几周，外甥女来我家玩，我就问她:“你在学校保护弟弟了吗？”外甥女一脸的沮丧:“弟弟他太可爱了，没人欺负他，我一直没有机会表现！”说完失落的差点掉眼泪。。。
花凝雪 || 点赞11 || 评论1474
我是个吃货，每天下班都抱着一堆零食吃，刚怀孕有反应的时候，我不知道是怀孕了，在那吐。老公问我：是不是怀孕了？我说：零食吃多了，撑着了！
Li利神 || 点赞0 || 评论190
今天上班呢，我是干修车的，然而，今天来了一个抬发动机的车，到了晚上，马上就要掉了，谁知道吊发动机的工具坏了，这....这TM的就很尴尬了！
西湖醋鱼夹生 || 点赞32 || 评论1504
给无人驾驶汽车点个赞！
鱼七七… || 点赞24 || 评论1986
走在昏暗的小巷中，迎面来了两个猛男，我有点紧张，咳了一声，谁知他们其中一个尖叫着跳了起来，然后搂着同伴的手说：“他吓唬我...…吓坏奴家了。”……草，这是传说中的基友！
放我出去我没病..… || 点赞14 || 评论1453
他被分配当海员，船上没女人，非常寂寞。这天他找到船长问：我最近总想女人，怎么办？船长：你跟我来。船长带他来到个大木桶旁，说：看见桶边上的洞了吗？你试试吧。他试了，果然不错，问：船长，我能每天都用这个吗？船长：当然可以，除了星期六。他：星期六为什么不行？船长：星期六轮到你进桶里啦！
小狗是三炮 || 点赞46 || 评论1190
二货每天给我转一元钱，就为了给蚂蚁庄园的小鸡领饲料，已经连续仨月了从未间断过，我能说啥[哀怨][哀怨][哀怨]
慧莫如深 || 点赞1 || 评论114
这几天迷上制作各种美食了，原谅我这个时间来挑逗你们，给过的都是帅哥美女！
萧瑟琅 || 点赞88 || 评论1677
这是摇坏的
王云（笨笨） || 点赞20 || 评论1039
哥哥高中那年，我才初中，有一天妈妈带我去给哥哥送饭。因为没有到时间，家长们都在校门外等着。我等不及了，就翻过矮墙进去了，刚好被值班的保安发现了，保安说：出去。然后我又从学校里面翻墙出来了……保安哭笑不得的说：小妹妹，我的意思是让你从校门走出去，没让你再翻出去啊！
柏拉图啥啊 || 点赞36 || 评论2167
之前一直想呕吐，常常感到恶心，老公就陪我去医院检查。医生检查完后，老公很关切地问我怎么啦，我有点害羞不愿吱声，走出医院，才羞羞地对他说:“老公，你要当爸爸了。。。”结果那货用力拍了一下我的屁股，高叫一声:“大屁股，干得好!”嘤嘤嘤ヽ(￣ω￣(￣ω￣〃)ゝ
跑呀！跑不掉了吧～… || 点赞57 || 评论2348
楼主业务员，推销p os 机的，下午出去跑业务，进到一家小超市，就跟老板介绍我们的p os 机，我说得口沫横飞，老板也很认真地在听，时不时附和几句，我一看有戏呀，说得更带劲了，说得渴了，买了瓶水，掏出手机付款，老板拿起一个p os 机扫了下我的手机！我看着他手里的p os 机凌乱了…
金色**阳光 || 点赞82 || 评论5530
高中语文老师是女的，一次在讲语言得体问题的时候突然很娇嫩的说：“XXX（一男生的名字），你真坏。”   全班沉寂。她接着说：“同学们，这样的语言就是不得体的。”    -_-|
花凝雪 || 点赞69 || 评论4644
我和闺蜜的预产期是同一天，闺蜜提前生了，我挺着大肚子去医院看她，刚好她被推去做别的检查了，我就躺在她的病床上体验一下。赶上医生查房，医生看着我说：你前天刚生的，怎么肚子还这么大啊？
偷情贼 || 点赞10 || 评论897
最近手头紧，正好赶上房贷，上班有些心不在焉。中午老板来视察，似乎是看出我的疑虑便把我叫到了办公室问我是不是最近遇到什么困难让我说出来他听听。听了老板的话语我心里暗自窃喜，便把我所想之事跟老板讲了一遍，老板听完放下手里的杯子温和的说到：没事的，小伙子，这都是小事不必放在心上别为了这点钱扰乱了你上班的激情，好了，你出去好好工作吧!
道士下山会女神 || 点赞54 || 评论4315
站在自家小店门口，见人行道上一猥琐男尾随一美女，罪恶之手伸向美女挎包……瞬间无数见义勇为的场景涌现大脑，楼主头一热，三步并作两步冲上前去，一把抓住小偷的手，大吼一声：你干啥？美女听见动静，转过身来，一脸懵逼的问小偷：老公咋啦？
王八与蛋 || 点赞5 || 评论1130
刚联系上的老同学突然向我借钱。我二话不说就答应亲自给他送钱去。当他满心期待的打开门，看见我一手一块板砖的模样，吓得一屁股就坐在了地上。他颤抖的说：“你…你…要干嘛？没…没钱…可以…不借的！何必…要…动…动…手…”我赶紧把板砖放下跟他解释道：“咳！我家准备拆迁了！这砖头就是钱啊！”
阿D咯 || 点赞1 || 评论146
千万不要想太多了
家有大肥猫0 || 点赞21 || 评论1907
一次记者采访贝爷的摄影师 记者:在跟贝爷拍片()的过程中，你有过最吓人的经历是什么？ 摄影师:记得那次我们遇上了十分糟糕的天气，4天都未找到任何食物，在营地休息时，贝爷突然转过来对我微(jian)笑了一下
不好吃的人 || 点赞58 || 评论1582
第一次去我媳妇家见岳父岳母。我又怕他们，话不敢多说！吃饭的时候就埋头苦干。使劲造了4碗米饭。菜还不敢夹多了！！岳母问我：你平时饭量就这么大吗？我听了都不敢在动筷子了。正准备说我吃饱了。媳妇的姐姐在旁边说道：多吃点好啊，吃的多说明劳力好，有力气干重活啊！[惊呆了]我没回话我继续吃。[汗颜]
_猪是的念来过倒_… || 点赞35 || 评论2294
早上习惯赖床，被闺蜜拉起来说:走，姐请你去吃好吃的。一听到好吃的我就咯噔起来了……她边走边说:昨天愚人节，恰好遇上周末没能陪你，今天给你补上吧！然后拉着我去学校的食堂里啃馒头！艹[生气了][衰]
来呀！来抓我呀~ || 点赞22 || 评论897
去广东看老公，下了车给老公发个定位，告诉他我手机没电了，老公发信息说他等会到，并一再叮嘱，就站那不动！我望着茫茫都市，确实不敢动，一直站那，一个多小时后，老公到了，看着满头大汗，快要中暑的我，说：你怎么站在太阳底下呀，不会找个阴凉的地方呀？我可怜兮兮地说：不是你让我站那不动的吗？
甜甜男友 || 点赞65 || 评论375
给过吧！我是来找真爱的，美女养狗不，我这有，品种是单身的
藏的很深 || 点赞13 || 评论424
办公室的虾兵蟹将们还在讨论出去踏青时的趣事，听的我直摇头，最近工作繁重，他们又开春发情，我只好自己一人留守，让他们出去撒欢……总经理助理过来面色凝重道：你们部门惹祸了，出去玩把老总的保姆车开走了，总经理十分生气，开完早会就要过来，你们自己想办法吧！说完拂袖而去……我赶紧召集开会，你们昨天谁要的车？要的什么车？李小欠兴奋道：新来的小妹去要的车，GMC保姆车，真开眼啊，里面这奢华，有酒有水有饮料，还能看电视……我眼前一黑，绝对是老总的保姆车……那谁谁，去看下部门业绩，先摆个…
吃了两碗又盛 || 点赞12 || 评论839
女同事看我戴了眼镜，问:怎么还戴上眼镜了？蓝光的吗？我不懂什么是蓝光眼镜，为了避免尴尬，只好开玩笑说:不是，是黄光的。女同事一扭头走了，扔下一句话:我说怎么色眯眯的呢！原来你眼里什么都是黄 色的！
吃货最怕饿梦. || 点赞16 || 评论1567
和男友一起逛街，累了我想回家，男友小声问我：咱俩去开房休息好不好？我瞪他一眼大声反驳：开什么房啊，马上到家了！就你现在混的还开的起房吗？刚说完就听见旁边一个帅哥小声嘀咕：比我还丑还穷居然还能约到P！这美女真是眼瞎啊！！
王八与蛋 || 点赞40 || 评论4392
晚上不舒服去挂急诊，看到急诊科的医生为一个孩子诊疗着正在渗血的头部。一旁孩子的母亲怒斥着孩子的父亲道：“你神经病啊！做什么梦啊？饿死鬼投胎啊！把孩子啃成这样！”[捂脸]
情到深处是沧桑 || 点赞16 || 评论354
那年我去农行办理支付宝，填单子的时候有一栏职业是必须填的，想都没想就填了农民这个职业。给办理的是个快退休的老头。他看了就问，小伙子你是农民啊，嗯，过一会你真是农民？嗯，快办理完了，你真是农民？我特么爷爷是农民，我爸是农民，农民怎么的了，农民还不给办理了怎么的？？
曾经沧南难为水～ || 点赞22 || 评论2241
恋爱，总会让人迷失方向。同事小伟，和女友热恋俩月。中午我在食堂吃饭，他打了饭菜坐我对面，未开动，因为和女友在煲电话粥。挂了电话，见他一脸幸福状的用手机铲起一口米饭送到嘴边……那声‘’卧槽‘’在餐盘上空盘旋了很久……
捉女妖的天师 || 点赞19 || 评论2006
酒足饭饱出来结帐时却发现老板居然是多年未见的老同学！俩人就这么寒暄了好一会。他接着我递过去的百元大钞：咋地？看不起老同学？快收回去！看着他一脸严肃的表情，我只好伸出了右手……靠，你倒是松手呀！
吃了两碗又盛 || 点赞22 || 评论1142
女同事拿出一个笔记本，看起来要写什么，她在抽屉里翻翻，又到包里找找，最后甚至掀起裙子看了看，嘴里不停地说:我的笔呢？我的笔呢？所有人瞬间都邪恶了！
萌萌*小姐姐 || 点赞40 || 评论3692
盘腿在沙发上看电视，时间长了，腿就麻了。闺蜜给我打电话约我一起吃晚饭，我说：晚饭跟我老公一起吃，腿麻了，不想动。闺蜜坏坏的说：姐，你不要老用蹲姿，你可以换跪姿的！
我就是要这个感觉 || 点赞5 || 评论444
今天老公开车送我，到地方下车时，因为穿了一件高开叉的裙子，就想撩一下老公，稍一提裙子露出整条腿，得意的对老公说：晒晒我的大长腿。老公坏坏一笑说：你这是让我看你腿有多粗吗？……你快过来，我保证不打你。
各大影视会员低价 || 点赞34 || 评论1666
上学那会很皮，班主任一个男老师，看我不顺眼，那天我正好牙疼，我在跟别人说话，他走下讲台让我站起来，二话没说就给我一巴掌，我瞬间感觉虽然脸疼但是牙不疼了，顺势把打掉的牙齿吐了出去，从那以后老师的名字传开了。。。。
从来，没有 || 点赞44 || 评论1892
马上清明了，记得前几年有一次祭祖，我刚把把一沓纸钱放下，婶婶拿过一看：哇，八百一张。先人们会不会够不够分哈～我郁闷道：纳尼，你家买的多大一张啊？！然后婶婶慢慢“低调”的拿出一沓纸币。我拿过一看，我滴个乖乖，一张就八千亿，我特么这一堆也比不上她家一张……
赵芳84 || 点赞55 || 评论1170
就刚才开车后面的车开着远光照的眼都看不清，我减速，让道，他走在我前面了，我默默的打开远光这样照着他，我也不知道对不对。
驯猴师 || 点赞100 || 评论4982
把我哥拽我屋里说“借我五百块钱。。”我哥摇着头说真没有，我说借我五百，发工资了还你六百，，我哥小声说“说话算数。。”我用力点点头，，然后我哥出去了，不一会儿拿着一千五进来递给我说“记得还我一千八，千万别让你嫂子知道了。。”嫂子从衣柜里钻出来接过我手里钱，数了六百递给我“拿去花，不用还！！”我哥好多天了也不理我[捂脸][捂脸]
锄禾日当午汗滴禾下… || 点赞2 || 评论256
一哥们今天和我说，他下楼坐电梯的时候，和一个男的同行，突然那男的放了个晴天霹雳的响屁，吓得他赶紧放了几个连环屁回敬下。真是俩逗逼
挖鼻孔的老虎 || 点赞60 || 评论10692
昨天下午姐夫来电，说晚上请我去大保健，又说他记性不好，要我八点打电话提醒他。到了晚上八点，我打电话给他：“去桑拿？”然后他在电话那头说：“老婆你听到没？次次都是你弟要我去的。”
i江北陈冠希 || 点赞6 || 评论877
开庭的时候法官问：“被告来了吗？”答：“来了！”又问：“那原告呢？”又答“都齐了！”法官华丽丽的说“人都齐啦？那上菜吧！”旁听的满脸黑线！
姑苏云琪 || 点赞70 || 评论4304
一个人出差住宾馆，开的大床房，房间里有免费提供的TT，我寻思不要白不要，就揣兜里了。出门吃饭，吃完饭发现忘了带钱包，然后就掏兜，当我从兜里掏出两个TT的时候，饭店老板愣了愣说：妹纸，大哥我是正经人。
童.趣 || 点赞13 || 评论922
初中刚毕业，陪哥们去向他远房的姨娘表白，我们仨是同班同学，路上就跟哥们商量，说你们不仅是亲戚，还特么是你长辈，要不让我先试试？哥们不同意，俩人争执起来竟打了一架，一赌气决定都不去，然后俩人在网吧愉快的玩了一下午游戏。
古古嚯嚯 || 点赞3 || 评论114
楼下注意你评论的态度，爷今天很不爽，
鲲鹏九天 || 点赞4 || 评论782
秘 书给书 记的讲 话 稿打印了三份。书 记没注意，在会上连念三遍。念完后发现台下人全跑了，忙问咋回事，秘 书说:“他们认为是强调再三，都忙着抓紧落实去了。”
时光是不舍的温柔 || 点赞38 || 评论1531
长沙黑的最惨的一次
曾经沧南难为水～ || 点赞19 || 评论2147
有个表弟今年读八年级。他家养了只猫，向来都很温顺，近几天显得有点暴躁。表弟将这事告诉了姑姑，没想到姑姑竟然从猫咪的反常举动，击破了表弟早恋的事实。姑姑说：猫咪告诉她，最近总有人给它喂狗粮……
古道西风晒吗？ || 点赞69 || 评论3636
早上在洗手间，正爽着的时候，门外来了俩清洁阿姨问：里面有没有人？我果断回了句：有！然后俩阿姨就进来了……
riverleo || 点赞13 || 评论136
绝对九成新，有识货的没有
浅笑凝眸淡然人生 || 点赞9 || 评论415
昨天中午，四个人一起吃饭，为了活跃气氛，我开玩笑说我很能吃，说他们太瘦，然后聊起体重，我说我125斤，一开始说和我差不多重的南总说他比我轻20多斤，然后旁边的老单说他120斤，我惊讶了，我就问身边的老弟，你比我重吧？！我弟说，咱两一样重。老单和老弟说，做人要说实话！老弟笑着和我说，比你稍轻点！我的心啊，受到了一亿点伤害，三个大男人都比我轻，让我这个女人情何以堪！
曾经沧南难为水～ || 点赞74 || 评论12094
接到领导通知晚上有个订单要出货，需安排人加班。我问同事小伟：想加班吗？ 他说有事说不想加。刚好文员妹纸从外面回办公室，我问她：你想加吗？  她一脸茫然道：我想家，想我爸妈……
悬剑. || 点赞26 || 评论1683
昨天去应聘卖房子的  面试的时候 面试官给一台笔记本我并且对我的试着把他卖给我   价格不能底于3000   我接过笔记本说   挺容易的  你等着   我去准备准备 然后转身就回家睡觉了   第二天面试官给我来电话了  让我把笔记本送回去   我说你出多少钱
绿萝爬山啦～ || 点赞20 || 评论2206
麻将馆里，来了一个40来岁的大姐，找到她老公，哆嗦着说：你玩麻将上瘾了？气死我了！她老公：我玩我的，是你自己爱生气！大姐吼道：行，那我送你一片大草原。她老公急了：你敢！大姐一笑：我送我的，是你自己愿意生气！
女澡堂卖肥皂 || 点赞5 || 评论246
听了葬花吟终于明白林黛玉是怎么死的了，里面有一句歌词：一年三百六十日！身体好的也吃不消哇！何况是林黛玉……
道士下山会女神 || 点赞44 || 评论3149
晚上在外吃过饭搭女同事的车回家，对面车道一道远光射过来，女同事骂道：尼玛，只管自己舒服，就不顾别人的感受。话音一落，我都觉得不好意思，女同事还继续没羞没臊的补充道：你别笑，跟你们男人干那事一个德性。
沐莘 || 点赞12 || 评论1499
和老公吵了一架，跟女儿搭公车回娘家。在路上我跟女儿说，不要你爸爸了，妈妈再给你找个爸爸！第二天带女儿去吃金拱门的时候，看到隔壁桌的一个帅哥，直接走过去说哥哥，你当我爸爸好不好然后给薯条我吃。我勒个去，帅哥深深的看了正在吃鸡腿的我，说小妹妹，哥哥我有女朋友，薯条你就拿去把！
（驹迷）真的爱你 || 点赞23 || 评论2315
我坐在窗户边的位置上课抢红包，太入境，而且手气还不咋地，气得我咬牙跺脚……正当我快崩溃时:窗户边的班主任冷冷地道:你这手速不行啊，看来不抄20遍校规是不能抢到大的
好吃的焦糖饼干……… || 点赞15 || 评论840
嫂子在小院种了很多蔬菜。昨晚，哥哥看着刚冒出的嫩嫩的菜芽，说：媳妇，你买个喷壶吧……侄子一听，大声说：不用买，我有小喷壶。说完，掏出小 鸟，像洒水车似的，边走边撒……
温暖的力量 || 点赞5 || 评论111
压抑的生活，只有在大汗淋漓之后，才会感受酣畅淋漓的痛快！
挖鼻孔的老虎 || 点赞97 || 评论8312
阳台飞来了几只白色的小蝴蝶，其中有一只特别活跃，一会儿跟一只玩，一会儿又飞去找另一只玩。老婆举起拖鞋“啪”的把它打了下来，对着它说：“你个渣男！”
王云（笨笨） || 点赞33 || 评论1158
刚到单位，看到走廊上一个女的跟主任在吵架。女的背对着我，我不知道是谁。一看主任被欺负了，那我能袖手旁观吗？我气呼呼的就过去了！我大吼一声：你这个不知死活的……女人一回头，艾玛，主任老婆！我立刻小声嘀咕了一声：……的…的漂亮女人！然后转身就跑。
匿名用户 || 点赞17 || 评论2192
家有神级老姐一枚，一次陪我去买鞋子！进了一家耐克店，店里有个女店员贝贼漂亮嗯，感觉眼前一亮，于是忽我老姐说 ：这妹子不错！然后老姐居然跑过去跟那妹子说：我儿子说你很漂亮，考虑下啊[诶~]！我：……
追梦的少年a || 点赞21 || 评论1079
一女性朋友，半夜三更和我说去KTV喝酒，妈蛋还换了两个地方，花了2000来块，我不想喝就装醉，她中间和一男的去上厕所，妈蛋，赤裸裸的打脸，所以说你以为你在套路人家，殊不知人家也在套路你。
留着胡子做大王 || 点赞7 || 评论120
